Stage,Development,HPF,Species,Temperature,Replicate.Bio,%Normal
Stage 1 ,Fertilized oocyte,,A. hyacinthus,27,Rep1,
Stage 1 ,Fertilized oocyte,,A. hyacinthus,27,Rep2,
Stage 1 ,Fertilized oocyte,,A. hyacinthus,27,Rep3,
Stage 2,4 cells,,A. hyacinthus,27,Rep1,
Stage 2,4 cells,,A. hyacinthus,27,Rep2,
Stage 2,4 cells,,A. hyacinthus,27,Rep3,
Stage 3,8 cells,,A. hyacinthus,27,Rep1,
Stage 3,8 cells,,A. hyacinthus,27,Rep2,
Stage 3,8 cells,,A. hyacinthus,27,Rep3,
Stage 4,Morula,,A. hyacinthus,27,Rep1,
Stage 4,Morula,,A. hyacinthus,27,Rep2,
Stage 4,Morula,,A. hyacinthus,27,Rep3,
Stage 5,Prawn Chip,,A. hyacinthus,27,Rep1,
Stage 5,Prawn Chip,,A. hyacinthus,27,Rep2,
Stage 5,Prawn Chip,,A. hyacinthus,27,Rep3,
Stage 6,Blastula,,A. hyacinthus,27,Rep1,
Stage 6,Blastula,,A. hyacinthus,27,Rep2,
Stage 6,Blastula,,A. hyacinthus,27,Rep3,
Stage 7,Late Blastula,,A. hyacinthus,27,Rep1,
Stage 7,Late Blastula,,A. hyacinthus,27,Rep2,
Stage 7,Late Blastula,,A. hyacinthus,27,Rep3,
Stage 8,Early Bowl,,A. hyacinthus,27,Rep1,
Stage 8,Early Bowl,,A. hyacinthus,27,Rep2,
Stage 8,Early Bowl,,A. hyacinthus,27,Rep3,
Stage 9,Bowl,,A. hyacinthus,27,Rep1,
Stage 9,Bowl,,A. hyacinthus,27,Rep2,
Stage 9,Bowl,,A. hyacinthus,27,Rep3,
Stage 10,Blastulation end,,A. hyacinthus,27,Rep1,
Stage 10,Blastulation end,,A. hyacinthus,27,Rep2,
Stage 10,Blastulation end,,A. hyacinthus,27,Rep3,
Stage 11,Gastrula,,A. hyacinthus,27,Rep1,
Stage 11,Gastrula,,A. hyacinthus,27,Rep2,
Stage 11,Gastrula,,A. hyacinthus,27,Rep3,
Stage 12,Round stage,,A. hyacinthus,27,Rep1,
Stage 12,Round stage,,A. hyacinthus,27,Rep2,
Stage 12,Round stage,,A. hyacinthus,27,Rep3,
Stage 1 ,Fertilized oocyte,,A. hyacinthus,31,Rep1,
Stage 1 ,Fertilized oocyte,,A. hyacinthus,31,Rep2,
Stage 1 ,Fertilized oocyte,,A. hyacinthus,31,Rep3,
Stage 2,4 cells,,A. hyacinthus,31,Rep1,
Stage 2,4 cells,,A. hyacinthus,31,Rep2,
Stage 2,4 cells,,A. hyacinthus,31,Rep3,
Stage 3,8 cells,,A. hyacinthus,31,Rep1,
Stage 3,8 cells,,A. hyacinthus,31,Rep2,
Stage 3,8 cells,,A. hyacinthus,31,Rep3,
Stage 4,Morula,,A. hyacinthus,31,Rep1,
Stage 4,Morula,,A. hyacinthus,31,Rep2,
Stage 4,Morula,,A. hyacinthus,31,Rep3,
Stage 5,Prawn Chip,,A. hyacinthus,31,Rep1,
Stage 5,Prawn Chip,,A. hyacinthus,31,Rep2,
Stage 5,Prawn Chip,,A. hyacinthus,31,Rep3,
Stage 6,Blastula,,A. hyacinthus,31,Rep1,
Stage 6,Blastula,,A. hyacinthus,31,Rep2,
Stage 6,Blastula,,A. hyacinthus,31,Rep3,
Stage 7,Late Blastula,,A. hyacinthus,31,Rep1,
Stage 7,Late Blastula,,A. hyacinthus,31,Rep2,
Stage 7,Late Blastula,,A. hyacinthus,31,Rep3,
Stage 8,Early Bowl,,A. hyacinthus,31,Rep1,
Stage 8,Early Bowl,,A. hyacinthus,31,Rep2,
Stage 8,Early Bowl,,A. hyacinthus,31,Rep3,
Stage 9,Bowl,,A. hyacinthus,31,Rep1,
Stage 9,Bowl,,A. hyacinthus,31,Rep2,
Stage 9,Bowl,,A. hyacinthus,31,Rep3,
Stage 10,Blastulation end,,A. hyacinthus,31,Rep1,
Stage 10,Blastulation end,,A. hyacinthus,31,Rep2,
Stage 10,Blastulation end,,A. hyacinthus,31,Rep3,
Stage 11,Gastrula,,A. hyacinthus,31,Rep1,
Stage 11,Gastrula,,A. hyacinthus,31,Rep2,
Stage 11,Gastrula,,A. hyacinthus,31,Rep3,
Stage 12,Round stage,,A. hyacinthus,31,Rep1,
Stage 12,Round stage,,A. hyacinthus,31,Rep2,
Stage 12,Round stage,,A. hyacinthus,31,Rep3,
